epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.484,2.38446,3.67486,2.3551,0.00242,0.85404,0.11802,0.03429,2.319,4.67613,2.43205,0.000539324,0.000539324,0.000539324
2,1001.79,2.28523,3.3877,2.25083,0.66571,0.19444,0.18327,0.05554,2.44535,4.27717,2.78951,0.00107331,0.00107331,0.00107331
3,1422.68,2.32433,3.23711,2.25506,0.61102,0.17361,0.0742,0.02026,2.94741,5.29842,3.37624,0.00158529,0.00158529,0.00158529
4,1906.47,2.2578,3.10754,2.27907,0.04294,0.36268,0.07755,0.02129,2.81277,19.5346,3.65652,0.00156798,0.00156798,0.00156798
5,2310.67,2.34138,3.12432,2.31623,0.59474,0.28472,0.1901,0.05312,2.48899,12.2377,3.03837,0.00153497,0.00153497,0.00153497
6,2708.94,2.26295,3.10404,2.27142,0.74707,0.1875,0.17299,0.05728,2.44423,3.93303,2.63743,0.00150197,0.00150197,0.00150197
